Loading config...
Memory hierarchy built.
{'mem': <cache.Cache object at 0x7eff1b6407f0>, 'cache_2': <cache.Cache object at 0x7eff1b640f70>, 'cache_1': <cache.Cache object at 0x7eff1b642230>}
Loading tracefile...
Loaded tracefile /home/ajay/Documents/CSE_530/Assignments/assignment_1/question/content/CachePerformanceOnMatMul/traces/mat_scatter_traces.out
Begin simulation!
0:	Reading 0x7ffc05b6b2a8
193:	Reading 0x5643683714a8
	hit_list: {'cache_1': False, 'cache_2': False, 'mem': True}	time: 1017

194:	Reading 0x5643683714a0
	hit_list: {'cache_1': True}	time: 1

195:	Reading 0x56436836fb78
	Writing back block 0x56436836fb78 to cache_2
	hit_list: {'cache_1': False, 'cache_2': False, 'mem': True}	time: 1033

196:	Reading 0x7f271487bcf0
	hit_list: {'cache_1': True}	time: 1

197:	Reading 0x56436836fb70
	hit_list: {'cache_1': True}	time: 1

198:	Reading 0x7f271487bce8
	hit_list: {'cache_1': False, 'cache_2': False, 'mem': True}	time: 1017

199:	Reading 0x7ffc05b6b0c8
	hit_list: {'cache_1': True}	time: 1

200:	Reading 0x7ffc05b6b0a8
	hit_list: {'cache_1': True}	time: 1

201:	Writing 0x7f271487bcf8
	hit_list: {'cache_1': True}	time: 1

202:	Writing 0x7f271487bce8
	hit_list: {'cache_1': True}	time: 1

203:	Writing 0x56436836fc20
	Writing back block 0x56436836fc20 to cache_2
	Writing back block 0x7ffc05b6b0a4 to mem
	hit_list: {'cache_1': False, 'cache_2': False, 'mem': True}	time: 1017

204:	Writing 0x56436836fc30
	Writing back block 0x56436836fc30 to cache_2
	hit_list: {'cache_1': False, 'cache_2': False}	time: 17

205:	Writing 0x56436836fb68
	hit_list: {'cache_1': True}	time: 1

206:	Writing 0x56436836fc18
	hit_list: {'cache_1': False}	time: 1

207:	Writing 0x5643683714a0
	hit_list: {'cache_1': True}	time: 1

208:	Reading 0x7f27148824fc
	hit_list: {'cache_1': False, 'cache_2': False, 'mem': True}	time: 1017

209:	Reading 0x7ffc05b6b118
	Writing back block 0x7ffc05b6b118 to cache_2
	hit_list: {'cache_1': False, 'cache_2': True}	time: 33

210:	Reading 0x7ffc05b6b120
	Writing back block 0x7ffc05b6b120 to cache_2
	hit_list: {'cache_1': False, 'cache_2': True}	time: 33

211:	Reading 0x7ffc05b6b128
	hit_list: {'cache_1': True}	time: 1

212:	Reading 0x7ffc05b6b130
	Writing back block 0x7ffc05b6b130 to cache_2
	hit_list: {'cache_1': False, 'cache_2': True}	time: 33

213:	Reading 0x7ffc05b6b138
	hit_list: {'cache_1': True}	time: 1

214:	Reading 0x7ffc05b6b140
	hit_list: {'cache_1': True}	time: 1

215:	Reading 0x7ffc05b6b148
	hit_list: {'cache_1': True}	time: 1

216:	Reading 0x56436836fb68
	hit_list: {'cache_1': True}	time: 1

217:	Reading 0x7ffc05b6b160
	Writing back block 0x7ffc05b6b160 to cache_2
	hit_list: {'cache_1': False, 'cache_2': True}	time: 33

218:	Reading 0x7ffc05b6b168
	hit_list: {'cache_1': True}	time: 1

219:	Reading 0x7ffc05b6b170
	Writing back block 0x7ffc05b6b170 to cache_2
	hit_list: {'cache_1': False, 'cache_2': True}	time: 33

220:	Reading 0x7ffc05b6b178
	hit_list: {'cache_1': True}	time: 1

221:	Reading 0x7ffc05b6b180
	Writing back block 0x7ffc05b6b180 to cache_2
	hit_list: {'cache_1': False, 'cache_2': True}	time: 33

222:	Reading 0x7ffc05b6b188
	hit_list: {'cache_1': True}	time: 1

